対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
読　売,6,37,12,6,1,0,8,9.0
読　売,0,31,5,0,1,0,9,8.0
読　売,2,35,8,2,2,0,7,8.0
東京ヤクルト,0,31,5,0,1,0,7,9.0
東京ヤクルト,0,31,6,0,2,1,7,9.0
東京ヤクルト,3,31,10,3,2,0,8,8.0
横浜DeNA,1,30,6,1,4,0,6,8.0
横浜DeNA,0,32,5,0,1,0,7,8.0
広島東洋,1,30,6,0,2,0,8,9.0
広島東洋,5,32,10,5,2,0,4,8.0
読　売,9,38,15,8,3,0,9,8.0
読　売,2,31,5,2,3,1,15,9.0
読　売,7,37,15,6,2,1,5,8.0
東京ヤクルト,0,34,8,0,3,0,9,8.0
東京ヤクルト,2,39,9,2,2,1,10,10.333333333333334
阪　神,4,32,8,4,4,1,9,8.0
阪　神,0,29,2,0,0,0,10,9.0
阪　神,2,33,10,2,1,0,8,8.0
広島東洋,6,36,9,5,5,0,12,9.0
広島東洋,2,41,10,1,2,2,12,11.666666666666666
横浜DeNA,0,29,5,0,1,0,13,9.0
横浜DeNA,4,33,8,4,2,0,5,9.0
横浜DeNA,0,29,4,0,0,0,6,9.0
阪　神,3,33,6,3,2,1,7,9.0
阪　神,7,40,13,7,4,1,5,9.0
阪　神,2,39,13,2,0,0,5,9.0
読　売,8,31,11,8,4,0,2,8.0
読　売,2,31,7,2,3,0,8,8.0
読　売,2,28,7,2,3,0,7,8.0
広島東洋,0,33,7,0,1,0,6,9.0
広島東洋,0,28,4,0,2,0,5,9.0
広島東洋,2,39,9,2,1,1,6,11.0
東京ヤクルト,7,35,10,6,4,0,6,9.0
東京ヤクルト,1,33,9,1,2,0,5,9.0
東京ヤクルト,5,32,6,5,1,0,6,9.0
阪　神,4,35,8,4,2,0,12,9.0
阪　神,1,34,7,1,2,0,8,9.0
阪　神,1,36,9,1,1,0,7,9.0
読　売,2,34,7,2,0,0,11,9.0
読　売,2,32,6,2,3,1,7,9.0
広島東洋,3,36,8,3,2,0,5,9.0
広島東洋,2,35,8,2,0,0,3,9.0
広島東洋,8,37,10,8,3,0,6,9.0
横浜DeNA,1,28,5,1,2,0,6,8.0
横浜DeNA,3,34,11,3,0,0,8,8.666666666666666
横浜DeNA,1,30,5,1,0,1,7,9.0
福岡ソフトバンク,5,38,13,5,1,0,5,9.0
福岡ソフトバンク,7,37,10,7,2,0,11,9.0
福岡ソフトバンク,6,34,10,6,3,1,4,9.0
オリックス,2,40,10,1,6,0,9,10.666666666666666
オリックス,1,33,6,1,2,0,10,9.0
オリックス,0,29,2,0,0,0,10,9.0
埼玉西武,2,33,8,2,1,0,7,9.0
埼玉西武,1,32,8,1,2,0,8,9.0
埼玉西武,8,37,13,7,5,0,4,9.0
東北楽天,4,36,10,4,2,0,10,9.0
東北楽天,0,31,5,0,2,1,6,9.0
千葉ロッテ,7,34,11,7,2,0,6,8.0
千葉ロッテ,1,31,7,1,1,0,11,9.0
千葉ロッテ,1,39,6,1,6,0,10,12.0
北海道日本ハム,1,31,3,1,2,0,5,9.0
北海道日本ハム,3,32,7,3,2,1,6,9.0
北海道日本ハム,0,29,2,0,3,0,10,9.0
東北楽天,5,35,11,5,1,0,2,9.0
東京ヤクルト,0,31,6,0,1,0,5,9.0
東京ヤクルト,3,27,5,3,2,1,1,8.0
東京ヤクルト,5,34,12,5,3,0,11,8.0
阪　神,3,33,8,3,2,2,3,9.0
