対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
読　売,0,32,4,0,2,0,9,8.0
読　売,0,31,6,0,2,0,6,8.0
読　売,5,33,7,5,4,0,4,9.0
横浜DeNA,3,33,8,3,3,0,7,9.0
横浜DeNA,5,29,8,5,3,0,8,8.0
横浜DeNA,2,31,6,2,4,1,4,9.0
東京ヤクルト,7,38,12,7,5,0,4,10.0
東京ヤクルト,4,32,7,4,5,0,10,9.0
東京ヤクルト,1,31,5,1,5,0,11,8.0
広島東洋,1,27,9,1,2,0,6,8.0
広島東洋,2,33,7,2,6,0,13,9.0
広島東洋,0,31,4,0,0,0,7,9.0
中　日,2,42,8,2,1,0,7,12.0
中　日,2,29,4,2,3,0,5,8.0
中　日,2,29,4,2,3,0,15,9.0
読　売,1,30,6,1,2,0,7,9.0
読　売,2,23,3,2,3,1,6,8.0
読　売,2,37,10,2,4,0,11,9.0
中　日,7,33,11,7,3,1,4,8.0
中　日,15,37,14,14,7,0,8,8.0
中　日,3,20,5,3,3,0,3,6.0
横浜DeNA,1,38,6,0,4,1,13,12.0
横浜DeNA,5,33,10,5,9,1,9,9.0
東京ヤクルト,2,33,6,2,0,0,5,9.0
東京ヤクルト,5,32,11,5,2,1,6,8.0
東京ヤクルト,4,32,12,4,2,0,5,8.0
広島東洋,7,34,9,6,8,2,4,9.0
広島東洋,2,40,8,2,4,0,14,12.0
読　売,5,34,7,5,5,1,9,9.0
読　売,1,34,7,1,3,0,4,10.0
読　売,4,33,9,4,2,1,6,9.0
広島東洋,0,32,7,0,2,1,8,9.0
広島東洋,1,30,4,1,4,0,6,9.0
横浜DeNA,4,33,8,4,4,0,5,9.0
横浜DeNA,9,39,13,9,3,2,6,9.0
横浜DeNA,1,29,2,1,2,0,5,9.0
中　日,2,35,7,2,3,0,7,9.0
中　日,1,39,6,1,2,0,8,11.0
中　日,9,37,11,9,7,0,10,9.0
東京ヤクルト,2,32,6,2,3,0,7,9.0
東京ヤクルト,1,25,4,1,5,0,5,8.0
東京ヤクルト,7,32,11,7,4,0,4,8.0
広島東洋,2,31,6,2,2,1,3,9.0
広島東洋,2,31,6,2,2,1,10,9.0
広島東洋,2,32,9,2,5,1,10,9.0
読　売,0,27,0,0,1,0,5,9.0
読　売,3,29,8,3,1,0,6,8.0
読　売,1,35,5,1,1,0,8,10.0
北海道日本ハム,2,33,9,2,6,0,3,9.0
北海道日本ハム,0,31,4,0,2,0,9,9.0
千葉ロッテ,4,39,12,4,6,0,6,10.0
千葉ロッテ,2,33,5,2,4,3,7,11.0
千葉ロッテ,1,30,4,1,1,0,5,9.0
東北楽天,1,34,6,1,1,0,11,10.0
東北楽天,2,33,8,2,2,2,6,9.0
東北楽天,1,31,4,1,1,0,7,9.0
埼玉西武,5,30,8,5,5,0,3,8.0
埼玉西武,4,35,11,4,2,0,8,8.0
埼玉西武,3,30,10,3,5,0,3,8.0
オリックス,0,34,7,0,0,0,15,9.0
オリックス,0,31,4,0,3,0,7,9.0
オリックス,5,34,8,5,4,1,7,9.0
福岡ソフトバンク,0,32,7,0,1,0,14,9.0
福岡ソフトバンク,2,35,8,2,3,1,9,9.0
福岡ソフトバンク,4,28,4,4,2,2,10,9.0
北海道日本ハム,2,38,6,1,3,1,15,10.333333333333332
横浜DeNA,1,32,6,1,2,1,5,8.666666666666666
横浜DeNA,2,30,5,2,0,0,6,9.0
中　日,0,32,6,0,3,0,7,9.0
