対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
横浜DeNA,3,36,10,3,1,0,11,8.0
横浜DeNA,1,30,4,1,1,0,7,8.0
横浜DeNA,5,34,9,3,3,1,6,9.0
東京ヤクルト,2,25,5,2,3,0,4,8.0
東京ヤクルト,6,33,9,6,1,1,7,8.0
中　日,0,29,5,0,1,0,3,9.0
中　日,0,36,10,0,1,0,7,9.0
中　日,0,30,5,0,2,0,5,9.0
阪　神,0,29,3,0,1,0,10,8.0
阪　神,6,38,13,6,0,0,9,9.0
阪　神,1,33,7,1,0,0,7,9.0
読　売,4,34,8,4,0,1,13,8.0
読　売,2,41,8,2,2,2,9,11.333333333333334
読　売,1,28,3,1,0,0,6,8.0
横浜DeNA,11,38,15,10,5,1,6,8.0
横浜DeNA,5,27,8,4,5,1,4,8.0
読　売,0,40,6,0,2,0,9,12.0
読　売,6,32,9,6,0,0,4,8.0
読　売,0,17,4,0,1,0,2,5.0
東京ヤクルト,2,30,5,2,2,0,4,9.0
東京ヤクルト,8,37,13,8,6,1,5,8.333333333333334
中　日,6,33,10,6,9,1,7,9.0
中　日,0,41,6,0,2,0,13,12.0
阪　神,1,33,7,1,1,0,6,9.0
阪　神,2,39,8,2,6,2,11,12.0
横浜DeNA,0,31,7,0,0,1,4,9.0
横浜DeNA,4,33,10,4,1,0,7,8.0
横浜DeNA,0,32,4,0,2,0,5,9.0
阪　神,2,33,5,2,0,0,10,9.0
阪　神,3,30,6,3,2,1,11,9.0
中　日,6,36,15,6,3,0,5,8.0
中　日,0,30,3,0,0,0,7,9.0
東京ヤクルト,2,35,10,2,0,0,6,9.0
東京ヤクルト,0,30,3,0,0,0,10,9.0
読　売,2,30,6,2,2,2,5,8.0
読　売,4,33,11,4,0,0,5,8.0
読　売,9,34,11,8,1,0,4,8.0
阪　神,6,33,11,6,2,0,1,8.0
阪　神,1,33,6,1,2,0,5,9.0
阪　神,1,33,8,0,3,0,6,9.0
横浜DeNA,5,42,15,5,0,0,7,10.0
横浜DeNA,9,54,19,9,2,0,9,12.0
横浜DeNA,4,34,8,3,2,2,5,9.0
オリックス,2,26,4,2,4,0,9,8.0
オリックス,14,41,19,13,1,0,7,8.0
オリックス,2,34,8,2,1,1,7,9.0
福岡ソフトバンク,1,29,4,1,4,0,11,9.0
福岡ソフトバンク,0,31,5,0,1,1,10,9.0
福岡ソフトバンク,3,36,8,3,2,1,12,10.0
北海道日本ハム,0,32,6,0,4,0,9,9.0
北海道日本ハム,6,27,7,4,6,0,8,8.0
北海道日本ハム,3,30,7,3,4,0,5,8.0
千葉ロッテ,4,31,6,4,5,0,7,8.0
千葉ロッテ,1,30,3,0,2,1,10,9.0
千葉ロッテ,4,31,11,4,3,0,1,8.0
埼玉西武,2,32,7,2,3,0,10,9.0
埼玉西武,0,28,4,0,2,0,4,9.0
埼玉西武,5,38,13,5,6,1,7,9.0
東北楽天,1,35,5,1,1,0,11,2.0
東北楽天,4,35,10,4,1,0,6,9.0
東北楽天,3,34,9,3,4,0,5,9.0
中　日,0,31,6,0,0,0,11,9.0
中　日,3,33,7,3,2,0,12,9.0
中　日,1,31,5,1,4,1,6,9.0
東京ヤクルト,3,32,9,2,1,0,3,8.0
東京ヤクルト,5,30,7,4,1,0,7,8.0
東京ヤクルト,4,31,7,4,2,0,7,8.666666666666666
読　売,2,28,5,1,5,1,6,10.0
読　売,2,29,3,2,0,1,13,9.0
読　売,2,34,9,2,4,1,6,9.0
阪　神,0,34,5,0,3,1,6,10.0
阪　神,1,30,3,1,0,0,2,9.0
阪　神,7,32,10,5,4,0,4,8.0
中　日,0,28,4,0,1,0,7,9.0
中　日,1,27,4,0,3,0,6,9.0
中　日,1,28,3,1,0,0,8,9.0
読　売,3,30,5,3,3,0,4,9.0
東京ヤクルト,4,31,10,4,3,0,2,8.0
東京ヤクルト,1,39,9,1,4,0,9,10.0
横浜DeNA,1,29,4,0,2,1,8,9.0
横浜DeNA,3,31,6,3,0,0,8,9.0
阪　神,1,32,6,1,0,0,6,9.0
阪　神,1,36,5,1,3,0,9,11.0
阪　神,3,38,11,3,1,0,7,9.0
東京ヤクルト,9,40,15,9,3,2,14,9.0
東京ヤクルト,0,32,5,0,1,0,6,9.0
東京ヤクルト,4,32,7,4,3,0,8,9.0
横浜DeNA,6,33,11,6,4,0,8,8.0
横浜DeNA,2,28,6,2,1,0,4,8.0
横浜DeNA,2,32,8,2,1,0,9,8.0
中　日,1,30,8,1,0,0,3,8.0
中　日,4,31,10,3,2,0,3,8.0
中　日,6,32,9,6,2,0,5,8.0
読　売,5,34,10,5,1,1,9,9.0
読　売,3,42,11,3,3,0,17,12.0
読　売,0,29,5,0,1,1,5,9.0
阪　神,6,40,16,5,2,0,6,9.0
阪　神,5,34,9,5,2,0,5,9.0
阪　神,0,33,6,0,3,0,10,9.0
横浜DeNA,10,39,15,9,2,2,12,8.0
横浜DeNA,0,31,4,0,2,0,6,9.0
横浜DeNA,4,31,9,3,1,1,2,8.333333333333334
東京ヤクルト,3,33,6,3,0,0,6,9.0
東京ヤクルト,8,37,16,8,0,1,4,9.0
読　売,8,40,14,8,2,1,9,9.0
読　売,1,30,6,1,1,1,11,9.0
読　売,2,35,7,2,3,0,8,10.0
阪　神,1,33,6,1,0,0,10,9.0
阪　神,2,30,9,2,2,0,4,8.0
阪　神,5,37,10,5,2,0,4,9.0
中　日,1,32,6,1,1,1,10,9.0
中　日,2,33,10,2,0,0,3,9.0
中　日,1,31,5,1,1,1,3,9.0
東京ヤクルト,7,31,8,6,3,0,7,8.0
東京ヤクルト,5,31,7,5,1,0,10,8.0
横浜DeNA,1,35,7,1,0,0,4,9.0
横浜DeNA,1,32,5,0,4,0,7,9.0
横浜DeNA,3,43,10,3,4,2,13,11.0
中　日,0,33,8,0,2,0,6,9.0
中　日,2,29,7,2,3,0,6,8.0
中　日,3,34,9,3,2,0,5,9.0
読　売,1,33,6,1,1,0,8,9.0
