対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
中　日,7,32,12,6,3,0,5,8.0
中　日,1,44,12,1,4,0,10,12.0
中　日,5,31,8,5,2,0,9,8.0
広島東洋,1,30,6,1,3,0,10,8.0
広島東洋,3,34,9,3,3,1,6,8.0
阪　神,6,32,7,6,8,1,4,10.0
阪　神,3,32,6,3,4,0,5,9.0
阪　神,3,28,4,2,2,0,8,8.0
読　売,1,32,8,1,4,2,6,9.0
読　売,0,29,4,0,4,0,8,9.0
横浜DeNA,1,31,6,1,2,1,6,8.0
横浜DeNA,5,32,9,5,3,1,6,9.0
横浜DeNA,9,39,10,6,4,0,7,9.0
中　日,2,31,6,2,0,0,7,8.0
中　日,0,28,5,0,4,1,7,8.0
中　日,11,42,15,11,7,0,7,9.0
横浜DeNA,4,28,8,4,3,1,3,8.0
横浜DeNA,4,31,7,3,4,0,6,9.0
横浜DeNA,3,32,5,3,5,0,4,9.0
広島東洋,0,30,4,0,2,0,8,9.0
広島東洋,9,36,13,8,2,1,8,8.333333333333334
阪　神,8,38,12,7,2,0,7,9.0
阪　神,4,35,10,4,1,0,10,8.0
阪　神,3,33,8,3,4,0,9,8.0
読　売,9,41,16,9,3,0,8,9.0
読　売,4,33,12,4,6,0,8,9.0
読　売,4,33,8,4,0,0,3,9.0
中　日,5,34,7,5,7,2,13,10.0
中　日,7,44,11,7,5,1,8,12.0
中　日,3,31,3,3,3,0,12,9.0
横浜DeNA,5,30,6,5,8,0,4,9.0
横浜DeNA,6,35,10,6,3,0,5,9.0
読　売,1,30,3,0,5,0,6,9.0
読　売,3,31,8,2,2,0,4,9.0
読　売,3,29,10,3,7,0,6,8.0
広島東洋,1,32,5,1,3,0,5,9.0
広島東洋,2,32,10,2,0,0,6,8.0
阪　神,4,31,8,4,5,2,6,9.0
阪　神,0,27,3,0,2,0,11,9.0
阪　神,2,32,7,2,4,0,6,9.0
横浜DeNA,0,31,4,0,1,0,8,9.0
横浜DeNA,1,33,9,1,1,0,9,9.0
横浜DeNA,3,35,10,3,0,1,7,9.0
中　日,5,36,8,4,7,1,12,10.0
中　日,0,30,3,0,1,0,10,9.0
中　日,0,29,3,0,3,0,15,9.0
千葉ロッテ,3,21,7,3,1,0,7,5.0
千葉ロッテ,3,39,7,3,2,3,9,12.0
千葉ロッテ,3,44,9,3,3,0,8,12.0
東北楽天,3,36,10,3,6,0,10,9.0
東北楽天,2,30,5,2,2,0,8,9.0
東北楽天,4,21,7,4,1,0,0,5.0
埼玉西武,4,29,5,3,7,0,11,9.0
埼玉西武,7,29,8,7,4,0,10,8.0
埼玉西武,3,30,7,3,5,0,6,8.0
北海道日本ハム,4,40,10,4,9,0,7,11.0
北海道日本ハム,6,28,4,6,4,0,8,8.0
北海道日本ハム,1,26,5,1,1,0,4,8.0
福岡ソフトバンク,2,31,6,2,2,1,11,9.0
福岡ソフトバンク,9,38,12,9,3,1,7,9.0
福岡ソフトバンク,3,34,8,3,5,0,7,9.0
オリックス,5,32,8,5,2,1,6,9.0
オリックス,3,39,13,3,2,0,7,9.0
オリックス,5,34,9,5,2,0,12,9.0
読　売,4,32,9,4,5,0,10,9.0
読　売,3,34,8,3,2,0,10,9.0
読　売,3,29,6,3,5,0,8,9.0
広島東洋,0,28,2,0,0,0,4,9.0
広島東洋,1,32,5,1,1,0,5,9.0
広島東洋,3,30,7,2,1,0,5,9.0
阪　神,6,30,10,6,3,1,2,8.0
阪　神,6,31,9,6,5,0,4,8.0
横浜DeNA,4,34,10,3,5,0,7,9.0
横浜DeNA,5,34,9,5,6,0,5,9.0
横浜DeNA,0,30,7,0,0,0,5,9.0
読　売,3,34,8,3,2,0,6,9.0
読　売,1,29,4,1,1,0,8,9.0
読　売,3,32,6,1,2,0,8,9.0
阪　神,1,33,7,1,1,0,6,9.0
阪　神,1,29,5,1,0,0,5,9.0
広島東洋,3,31,6,3,4,0,6,9.0
広島東洋,0,36,3,0,3,0,11,11.0
中　日,4,32,9,4,2,0,8,8.0
中　日,4,31,8,3,2,2,4,8.0
横浜DeNA,7,42,16,6,3,0,7,9.0
横浜DeNA,6,34,11,6,1,0,8,8.0
横浜DeNA,8,45,15,8,3,0,14,10.333333333333334
広島東洋,6,33,7,6,5,0,7,9.0
広島東洋,3,30,7,3,3,1,5,8.0
広島東洋,5,33,10,5,2,0,7,8.666666666666666
中　日,0,34,7,0,2,0,12,9.0
中　日,0,27,5,0,3,1,7,9.0
中　日,2,29,6,2,4,0,6,9.0
読　売,4,34,8,4,3,0,5,9.0
読　売,4,35,8,4,5,0,9,9.0
読　売,1,30,6,1,2,0,6,9.0
阪　神,5,35,13,5,2,1,5,8.666666666666666
阪　神,4,19,6,4,1,0,3,4.0
阪　神,3,32,8,3,3,0,6,9.0
横浜DeNA,2,29,4,2,2,0,8,9.0
横浜DeNA,4,34,7,3,2,0,7,9.0
横浜DeNA,5,32,8,5,3,0,6,9.0
中　日,5,32,9,5,7,0,11,8.333333333333334
中　日,4,33,8,4,4,2,8,9.0
中　日,7,42,12,7,5,0,9,10.666666666666666
広島東洋,6,31,7,6,2,0,4,8.0
広島東洋,2,32,6,2,0,0,10,9.0
阪　神,3,33,6,3,4,0,10,9.0
阪　神,4,32,8,4,2,2,8,9.0
阪　神,5,37,12,5,3,1,4,9.0
横浜DeNA,2,34,8,2,1,0,9,9.0
横浜DeNA,3,31,9,3,3,0,9,8.0
横浜DeNA,4,36,11,4,3,0,8,9.0
読　売,2,35,8,2,5,0,7,9.0
読　売,2,35,7,2,1,0,11,9.0
広島東洋,0,28,1,0,3,0,6,9.0
広島東洋,1,32,7,1,2,0,8,9.0
読　売,4,40,11,3,3,1,7,10.0
読　売,3,36,9,3,1,0,10,9.0
読　売,0,27,1,0,1,1,9,9.0
阪　神,1,31,4,1,3,1,7,9.0
阪　神,0,34,9,0,1,0,8,9.0
