対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
阪　神,3,33,6,3,5,0,12,8.0
阪　神,5,45,11,5,1,0,7,11.666666666666666
阪　神,2,34,7,2,2,0,9,8.0
読　売,0,32,6,0,4,0,7,9.0
読　売,2,25,5,2,8,1,5,8.0
読　売,4,27,7,4,2,0,3,8.0
中　日,3,35,11,3,0,0,5,8.0
中　日,8,34,14,8,2,0,4,8.0
東京ヤクルト,3,34,9,3,1,0,6,8.0
東京ヤクルト,6,37,14,6,3,2,4,9.0
阪　神,8,32,13,8,4,1,3,8.0
阪　神,2,27,4,2,3,0,5,8.0
読　売,2,33,7,2,2,0,1,9.0
読　売,1,29,4,1,2,0,5,8.0
広島東洋,1,30,4,1,4,1,4,9.0
広島東洋,0,30,7,0,2,0,5,8.0
広島東洋,4,33,8,4,3,0,1,9.0
東京ヤクルト,5,32,7,5,4,2,4,8.0
東京ヤクルト,5,27,9,5,1,0,3,8.0
東京ヤクルト,7,42,14,7,0,0,8,9.666666666666666
中　日,1,29,5,1,2,0,7,9.0
中　日,7,30,8,6,5,2,4,9.0
中　日,2,33,6,2,4,0,8,9.0
広島東洋,1,33,8,1,6,0,5,9.0
広島東洋,4,33,9,4,4,0,4,8.0
広島東洋,3,28,7,3,1,0,5,8.0
東京ヤクルト,9,39,13,8,6,0,6,9.0
東京ヤクルト,17,43,20,17,8,0,5,9.0
読　売,2,32,6,2,2,0,6,9.0
読　売,1,33,6,1,3,0,10,9.0
阪　神,3,34,8,3,2,0,7,9.0
阪　神,2,34,8,2,3,1,6,9.0
阪　神,7,40,16,6,2,1,4,9.0
広島東洋,5,38,10,4,2,0,5,9.0
広島東洋,7,32,9,7,1,1,2,8.0
広島東洋,13,38,17,13,7,2,7,8.0
東京ヤクルト,5,30,9,5,2,3,3,8.0
東京ヤクルト,3,43,11,3,2,0,5,12.0
読　売,6,31,8,6,2,1,7,9.0
読　売,0,30,5,0,0,0,6,9.0
読　売,4,31,8,3,2,2,3,9.0
中　日,0,30,4,0,2,0,13,9.0
中　日,2,31,8,2,4,0,6,9.0
中　日,3,35,8,3,2,0,8,9.0
東北楽天,3,37,12,3,3,0,4,9.0
東北楽天,1,30,4,1,1,0,7,9.0
東北楽天,11,43,17,11,4,0,2,9.0
埼玉西武,6,30,10,6,3,0,6,8.0
埼玉西武,5,32,8,4,3,0,2,8.0
埼玉西武,4,35,9,4,3,0,9,9.0
福岡ソフトバンク,1,34,7,1,2,0,8,9.0
福岡ソフトバンク,0,31,5,0,3,1,9,9.0
福岡ソフトバンク,6,35,9,6,3,0,8,9.0
オリックス,4,32,6,2,2,0,10,9.0
オリックス,3,34,8,3,0,2,6,9.0
オリックス,8,34,7,8,3,0,3,9.0
北海道日本ハム,5,33,11,5,2,0,3,8.0
北海道日本ハム,2,28,7,2,0,0,4,8.0
千葉ロッテ,2,34,7,2,2,0,3,9.0
千葉ロッテ,10,35,11,10,2,2,6,8.0
千葉ロッテ,6,31,10,6,2,0,8,8.0
北海道日本ハム,3,40,9,3,5,2,11,10.0
阪　神,3,32,7,3,4,0,3,8.0
阪　神,2,30,6,2,2,1,3,8.0
阪　神,5,32,11,5,3,0,4,8.0
広島東洋,2,37,10,2,3,0,3,9.0
広島東洋,2,33,8,2,2,0,8,9.0
広島東洋,3,31,6,3,1,0,6,9.0
中　日,1,34,8,1,3,0,6,9.0
中　日,2,42,9,2,3,0,7,12.0
中　日,3,25,5,3,4,0,4,8.0
東京ヤクルト,3,31,6,1,2,1,7,9.0
東京ヤクルト,4,41,6,4,3,1,5,12.0
東京ヤクルト,3,34,8,3,2,0,5,8.0
読　売,2,30,6,2,3,1,11,9.0
読　売,0,31,6,0,0,0,8,9.0
読　売,1,37,6,1,1,1,8,12.0
阪　神,2,34,9,2,0,0,4,9.0
阪　神,4,35,10,4,1,0,9,9.0
阪　神,4,36,11,4,1,0,9,9.0
広島東洋,1,29,3,1,1,0,7,9.0
広島東洋,2,34,11,2,3,0,4,9.0
広島東洋,1,29,3,1,4,0,5,9.0
読　売,2,30,5,2,2,0,2,9.0
読　売,0,31,4,0,3,0,8,9.0
中　日,5,34,8,5,0,0,5,9.0
中　日,1,31,4,1,4,0,7,9.0
中　日,2,32,6,2,4,1,6,9.0
東京ヤクルト,5,35,9,5,2,1,5,9.0
東京ヤクルト,3,35,10,3,1,0,7,9.0
東京ヤクルト,4,30,6,2,3,1,8,9.0
広島東洋,5,34,15,5,3,1,5,9.0
広島東洋,2,35,11,2,2,0,6,9.0
広島東洋,0,39,5,0,1,1,4,12.0
阪　神,2,33,8,2,3,0,7,9.0
阪　神,3,33,8,3,3,0,6,9.0
