対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
阪　神,4,34,10,4,1,1,6,8.0
阪　神,5,31,8,5,3,0,7,8.0
阪　神,0,33,6,0,5,0,6,9.0
中　日,3,43,11,3,0,0,9,10.0
中　日,2,36,10,2,0,0,6,8.0
中　日,2,33,8,2,1,1,9,9.0
横浜DeNA,1,30,6,1,2,0,5,9.0
横浜DeNA,4,35,9,4,3,0,6,9.0
横浜DeNA,3,29,5,3,4,0,3,8.0
東京ヤクルト,3,34,10,3,5,0,8,9.0
東京ヤクルト,5,33,10,5,6,0,11,9.0
広島東洋,9,32,9,9,3,2,8,8.0
広島東洋,3,43,11,3,4,1,13,11.333333333333334
広島東洋,2,28,6,2,3,0,6,8.0
阪　神,1,32,8,1,3,0,11,9.0
阪　神,0,34,8,0,2,0,5,8.0
阪　神,1,34,5,1,1,0,6,9.0
広島東洋,0,38,4,0,7,0,12,12.0
広島東洋,2,38,12,2,3,0,8,8.0
広島東洋,0,20,4,0,2,0,2,5.0
中　日,2,28,4,2,0,0,4,8.0
中　日,2,31,5,2,4,0,4,9.0
中　日,3,26,2,3,2,0,6,8.0
横浜DeNA,2,30,7,2,4,0,8,8.0
横浜DeNA,2,28,6,2,3,0,6,9.0
横浜DeNA,6,37,12,6,5,1,5,9.0
東京ヤクルト,0,29,3,0,0,0,5,9.0
東京ヤクルト,3,33,8,3,7,0,7,9.0
東京ヤクルト,0,31,7,0,2,0,8,9.0
阪　神,8,33,9,8,2,0,5,8.0
阪　神,2,35,9,2,2,0,8,9.333333333333334
阪　神,2,33,9,2,0,0,5,9.0
中　日,0,30,5,0,2,0,8,9.0
中　日,2,31,5,2,6,0,6,9.0
中　日,4,33,9,4,4,0,8,9.0
東京ヤクルト,2,30,7,2,3,0,4,9.0
東京ヤクルト,4,34,8,4,3,1,9,9.0
東京ヤクルト,1,32,6,1,5,0,12,9.0
横浜DeNA,2,27,6,2,3,1,8,8.0
横浜DeNA,4,29,7,4,4,0,7,8.0
広島東洋,0,35,7,0,2,0,8,9.0
広島東洋,3,38,14,2,5,0,4,9.0
広島東洋,3,33,6,3,4,0,8,9.0
中　日,1,39,7,1,6,0,6,12.0
中　日,2,33,9,2,1,0,6,9.0
阪　神,1,29,7,1,4,0,5,9.0
阪　神,0,31,4,0,0,0,12,9.0
阪　神,2,35,10,2,0,0,5,10.0
福岡ソフトバンク,0,26,3,0,5,0,9,9.0
福岡ソフトバンク,1,40,8,1,6,1,12,11.333333333333334
福岡ソフトバンク,6,32,7,6,2,0,4,8.0
埼玉西武,4,35,11,4,6,0,4,9.0
