日付,勝ち負け,盗塁,先発,勝投手,負投手
03/31,●,0,大瀬良 大地,小川 泰弘,大瀬良 大地
04/01,●,1,床田 寛樹,石山 泰稚,島内 颯太郎
04/02,●,0,玉村 昇悟,星 知弥,松本 竜也
04/04,●,1,九里 亜蓮,浜地 真澄,栗林 良吏
04/06,○,0,遠藤 淳志,遠藤 淳志,西 純矢
04/07,○,0,大瀬良 大地,大瀬良 大地,ビーディ
04/08,○,0,床田 寛樹,床田 寛樹,グリフィン
04/09,○,1,玉村 昇悟,玉村 昇悟,赤星 優志
04/11,○,0,九里 亜蓮,九里 亜蓮,柳 裕也
04/12,●,0,遠藤 淳志,勝野 昌慶,遠藤 淳志
04/14,○,1,大瀬良 大地,大瀬良 大地,小川 泰弘
04/15,○,0,床田 寛樹,戸根 千明,田口 麗斗
04/16,○,0,玉村 昇悟,ターリー,石山 泰稚
04/18,●,0,九里 亜蓮,西 勇輝,栗林 良吏
04/19,●,0,遠藤 淳志,大竹 耕太郎,遠藤 淳志
04/20,○,0,アンダーソン,ケムナ 誠,西 純矢
04/21,●,0,コルニエル,今永 昇太,コルニエル
04/22,○,0,床田 寛樹,床田 寛樹,大貫 晋一
04/23,●,0,玉村 昇悟,伊勢 大夢,栗林 良吏
04/26,●,2,大瀬良 大地,涌井 秀章,大瀬良 大地
04/27,○,0,九里 亜蓮,矢崎 拓也,砂田 毅樹
04/28,●,2,遠藤 淳志,横川 凱,遠藤 淳志
04/29,●,0,コルニエル,大江 竜聖,栗林 良吏
04/30,○,1,アンダーソン,アンダーソン,ビーディ
05/02,○,0,床田 寛樹,ターリー,山? 康晃
05/03,●,0,九里 亜蓮,バウアー,九里 亜蓮
05/04,●,0,森下 暢仁,森原 康平,松本 竜也
05/05,●,0,遠藤 淳志,大竹 耕太郎,遠藤 淳志
05/09,○,0,床田 寛樹,床田 寛樹,祖父江 大輔
05/10,○,0,九里 亜蓮,九里 亜蓮,涌井 秀章
05/11,○,1,コルニエル,矢崎 拓也,田島 慎二
05/12,○,0,大瀬良 大地,矢崎 拓也,菊地 大稀
05/13,●,1,森下 暢仁,菊地 大稀,松本 竜也
05/14,○,0,アンダーソン,アンダーソン,赤星 優志
05/16,○,1,床田 寛樹,床田 寛樹,バウアー
05/17,●,2,九里 亜蓮,伊勢 大夢,九里 亜蓮
05/18,●,0,コルニエル,東 克樹,コルニエル
05/19,○,1,玉村 昇悟,ケムナ 誠,及川 雅貴
05/20,●,0,森下 暢仁,岩崎 優,森下 暢仁
05/21,●,2,アンダーソン,才木 浩人,アンダーソン
