日付,勝ち負け,盗塁,先発,勝投手,負投手
03/31,○,4,小川 泰弘,小川 泰弘,大瀬良 大地
04/01,○,0,ピーターズ,石山 泰稚,島内 颯太郎
04/02,○,1,吉村 貢司郎,星 知弥,松本 竜也
04/04,○,0,サイスニード,サイスニード,大野 雄大
04/05,○,3,高橋 奎二,高橋 奎二,柳 裕也
04/06,●,1,石川 雅規,?橋 宏斗,石川 雅規
04/07,○,1,小川 泰弘,石山 泰稚,浜地 真澄
04/08,●,0,尾仲 祐哉,大竹 耕太郎,尾仲 祐哉
04/09,△,2,吉村 貢司郎,,
04/11,○,1,サイスニード,サイスニード,?口 遥大
04/12,●,0,高橋 奎二,東 克樹,高橋 奎二
04/14,●,0,小川 泰弘,大瀬良 大地,小川 泰弘
04/15,●,1,高梨 裕稔,戸根 千明,田口 麗斗
04/16,●,1,吉村 貢司郎,ターリー,石山 泰稚
04/18,○,0,サイスニード,サイスニード,涌井 秀章
04/20,○,1,石川 雅規,大西 広樹,山本 拓実
04/21,○,2,高橋 奎二,高橋 奎二,ビーディ
04/22,●,0,小川 泰弘,グリフィン,小川 泰弘
04/23,●,0,吉村 貢司郎,横川 凱,吉村 貢司郎
04/25,●,0,サイスニード,ガゼルマン,サイスニード
04/26,●,1,高梨 裕稔,三嶋 一輝,高梨 裕稔
04/27,●,0,ピーターズ,三嶋 一輝,大西 広樹
04/28,●,1,高橋 奎二,大竹 耕太郎,高橋 奎二
04/29,●,1,小川 泰弘,村上 頌樹,小川 泰弘
04/30,○,1,吉村 貢司郎,吉村 貢司郎,才木 浩人
05/02,○,0,サイスニード,石山 泰稚,田中 千晴
05/03,●,1,高梨 裕稔,大江 竜聖,木澤 尚文
05/04,●,0,ピーターズ,大勢,小澤 怜史
05/05,○,1,高橋 奎二,木澤 尚文,山? 康晃
05/06,●,0,小川 泰弘,上茶谷 大河,小川 泰弘
05/09,○,0,吉村 貢司郎,吉村 貢司郎,村上 頌樹
05/10,○,0,石川 雅規,石川 雅規,西 勇輝
05/11,●,1,サイスニード,石井 大智,清水 昇
05/12,●,0,高梨 裕稔,小笠原 慎之介,高梨 裕稔
05/13,○,1,ピーターズ,ピーターズ,仲地 礼亜
05/14,○,0,小川 泰弘,小川 泰弘,?橋 宏斗
05/16,●,0,吉村 貢司郎,鍵谷 陽平,石山 泰稚
05/17,●,0,市川 悠太,山? 伊織,市川 悠太
05/18,●,1,サイスニード,横川 凱,サイスニード
05/20,●,0,ピーターズ,ウェンデルケン,石山 泰稚
05/21,△,0,小川 泰弘,,
05/23,●,0,石川 雅規,村上 頌樹,石川 雅規
05/24,●,0,吉村 貢司郎,島本 浩也,田口 麗斗
05/25,●,0,サイスニード,及川 雅貴,星 知弥
05/26,●,0,高梨 裕稔,島内 颯太郎,高梨 裕稔
05/27,●,0,ピーターズ,森下 暢仁,ピーターズ
05/28,●,0,小川 泰弘,アンダーソン,小川 泰弘
05/30,●,1,石川 雅規,上原 健太,石川 雅規
05/31,●,0,市川 悠太,上沢 直之,市川 悠太
06/01,○,0,サイスニード,サイスニード,加藤 貴之
06/03,○,0,ピーターズ,ピーターズ,早川 隆久
06/04,○,0,小澤 怜史,小澤 怜史,荘司 康誠
06/06,○,0,小川 泰弘,小川 泰弘,美馬 学
06/07,●,0,高橋 奎二,メルセデス,高橋 奎二
06/08,●,0,サイスニード,カスティーヨ,サイスニード
06/09,●,1,ピーターズ,隅田 知一郎,ピーターズ
06/10,○,0,石川 雅規,石川 雅規,?橋 光成
06/11,○,0,小澤 怜史,小澤 怜史,平良 海馬
06/13,●,0,小川 泰弘,有原 航平,小川 泰弘
06/14,●,0,高橋 奎二,東浜 巨,高橋 奎二
06/15,●,1,サイスニード,,
06/16,●,0,ピーターズ,山? 福也,ピーターズ
06/17,●,0,石川 雅規,山下 舜平大,石川 雅規
06/18,●,0,小澤 怜史,宮城 大弥,星 知弥
06/20,○,2,金久保 優斗,山本 大貴,藤平 尚真
06/23,○,0,サイスニード,サイスニード,小笠原 慎之介
06/24,●,1,小川 泰弘,祖父江 大輔,小川 泰弘
06/25,●,0,高橋 奎二,涌井 秀章,高橋 奎二
06/28,○,0,小澤 怜史,小澤 怜史,グリフィン
06/30,●,0,サイスニード,九里 亜蓮,サイスニード
07/01,○,0,ピーターズ,ピーターズ,大瀬良 大地
07/02,○,0,高橋 奎二,高橋 奎二,森 翔平
07/04,○,1,小川 泰弘,清水 昇,山? 康晃
07/05,○,2,小澤 怜史,今野 龍太,入江 大生
07/06,●,2,丸山 翔大,バウアー,石川 雅規
07/08,○,2,ピーターズ,木澤 尚文,伊藤 将司
07/09,●,1,高橋 奎二,岩貞 祐太,木澤 尚文
07/11,●,0,サイスニード,柳 裕也,サイスニード
07/12,○,1,小川 泰弘,大西 広樹,祖父江 大輔
07/13,●,1,小澤 怜史,小笠原 慎之介,小澤 怜史
07/15,○,0,ピーターズ,ピーターズ,井上 温大
07/16,○,1,高橋 奎二,高橋 奎二,メンデス
07/17,○,0,市川 悠太,田口 麗斗,中川 皓太
07/22,○,0,小川 泰弘,小川 泰弘,青柳 晃洋
07/23,●,0,小澤 怜史,伊藤 将司,大西 広樹
07/25,●,1,ピーターズ,ターリー,石山 泰稚
07/26,●,1,高橋 奎二,森 翔平,高橋 奎二
07/27,●,0,石川 雅規,床田 寛樹,石山 泰稚
07/28,●,0,サイスニード,山? 康晃,清水 昇
07/29,○,3,小川 泰弘,小川 泰弘,大貫 晋一
07/30,○,1,小澤 怜史,小澤 怜史,石田 健大
08/01,○,0,山野 太一,山野 太一,菅野 智之
08/02,●,0,高橋 奎二,グリフィン,高橋 奎二
08/03,●,0,ピーターズ,戸郷 翔征,清水 昇
08/04,●,2,サイスニード,松葉 貴大,サイスニード
08/05,●,0,小川 泰弘,?橋 宏斗,小川 泰弘
08/06,○,0,小澤 怜史,小澤 怜史,柳 裕也
08/08,○,0,石川 雅規,山本 大貴,ターリー
08/09,○,0,ロドリゲス,ロドリゲス,森 翔平
08/10,○,0,ピーターズ,ピーターズ,床田 寛樹
08/11,●,0,高橋 奎二,馬場 皐輔,清水 昇
08/12,●,0,サイスニード,馬場 皐輔,田口 麗斗
08/13,●,1,山野 太一,伊藤 将司,山野 太一
08/15,●,1,小澤 怜史,バウアー,小澤 怜史
08/16,○,1,小川 泰弘,小川 泰弘,今永 昇太
08/17,●,0,ロドリゲス,?口 遥大,ロドリゲス
08/18,○,0,ピーターズ,ピーターズ,仲地 礼亜
08/19,○,0,高橋 奎二,星 知弥,?橋 宏斗
08/20,○,0,サイスニード,サイスニード,柳 裕也
08/22,●,0,小澤 怜史,鈴木 康平,清水 昇
08/23,●,0,小川 泰弘,バルドナード,阪口 皓亮
08/24,●,0,ロドリゲス,赤星 優志,ロドリゲス
08/25,●,0,石川 雅規,栗林 良吏,清水 昇
08/26,●,0,ピーターズ,アンダーソン,ピーターズ
08/27,△,0,高橋 奎二,,
08/29,●,0,サイスニード,涌井 秀章,サイスニード
08/30,●,0,小澤 怜史,小笠原 慎之介,小澤 怜史
08/31,○,0,小川 泰弘,小川 泰弘,梅津 晃大
09/01,●,0,ロドリゲス,村上 頌樹,ロドリゲス
09/02,●,0,ピーターズ,青柳 晃洋,ピーターズ
09/03,●,1,吉村 貢司郎,伊藤 将司,吉村 貢司郎
09/05,●,0,サイスニード,船迫 大雅,石山 泰稚
09/06,○,1,小澤 怜史,小澤 怜史,バルドナード
09/07,●,0,高橋 奎二,赤星 優志,高橋 奎二
09/08,●,0,石川 雅規,上茶谷 大河,阪口 皓亮
09/09,○,1,小川 泰弘,小川 泰弘,石田 健大
09/10,●,0,山野 太一,?口 遥大,山野 太一
09/12,○,0,サイスニード,サイスニード,玉村 昇悟
09/13,○,0,吉村 貢司郎,吉村 貢司郎,大瀬良 大地
09/14,●,0,高橋 奎二,大道 温貴,木澤 尚文
09/15,●,1,ロドリゲス,平良 拳太郎,ロドリゲス
09/16,○,0,小川 泰弘,小川 泰弘,石田 健大
09/17,●,1,小澤 怜史,大勢,清水 昇
09/18,●,1,山野 太一,船迫 大雅,田口 麗斗
09/20,○,0,石川 雅規,田口 麗斗,松山 晋也
09/21,●,0,サイスニード,橋本 侑樹,サイスニード
09/23,●,0,ロドリゲス,大竹 耕太郎,ロドリゲス
09/24,○,0,小川 泰弘,小川 泰弘,九里 亜蓮
09/26,●,0,高橋 奎二,西 勇輝,高橋 奎二
09/27,○,0,吉村 貢司郎,吉村 貢司郎,坂本 裕哉
09/30,●,0,サイスニード,上茶谷 大河,田口 麗斗
10/01,●,1,山野 太一,グリフィン,山野 太一
10/04,○,0,高橋 奎二,田口 麗斗,岩崎 優
03/29,○,1,サイスニード,木澤 尚文,松山 晋也
03/30,△,2,吉村 貢司郎,,
03/31,○,0,ヤフーレ,ヤフーレ,メヒア
04/02,●,1,小澤 怜史,島内 颯太郎,清水 昇
04/04,●,0,高橋 奎二,中? 翔太,清水 昇
04/05,●,1,サイスニード,岩崎 優,木澤 尚文
04/06,●,0,吉村 貢司郎,大竹 耕太郎,吉村 貢司郎
04/07,○,1,ヤフーレ,ヤフーレ,才木 浩人
04/09,●,0,小澤 怜史,山? 伊織,小澤 怜史
04/11,●,0,高橋 奎二,菅野 智之,高橋 奎二
04/12,●,1,サイスニード,東 克樹,サイスニード
04/13,○,2,吉村 貢司郎,吉村 貢司郎,ケイ
04/14,○,0,ヤフーレ,ヤフーレ,大貫 晋一
04/16,●,0,石川 雅規,橋本 侑樹,清水 昇
04/17,●,0,小澤 怜史,齋藤 綱記,小澤 怜史
04/18,○,1,高橋 奎二,高橋 奎二,柳 裕也
04/19,○,0,サイスニード,大西 広樹,伊勢 大夢
04/20,●,0,阪口 皓亮,ケイ,阪口 皓亮
04/21,●,0,ヤフーレ,大貫 晋一,ヤフーレ
04/23,●,1,吉村 貢司郎,床田 寛樹,吉村 貢司郎
04/25,○,1,高橋 奎二,石山 泰稚,栗林 良吏
04/26,○,0,小川 泰弘,小川 泰弘,青柳 晃洋
