日付,勝ち負け,盗塁,先発,勝投手,負投手
03/31,●,0,石田 健大,青柳 晃洋,石田 健大
04/01,●,0,ガゼルマン,富田 蓮,山? 康晃
04/02,●,0,笠原 ?太郎,才木 浩人,笠原 ?太郎
04/04,●,0,?口 遥大,戸郷 翔征,?口 遥大
04/05,○,0,平良 拳太郎,平良 拳太郎,メンデス
04/06,○,0,東 克樹,東 克樹,横川 凱
04/08,○,0,ガゼルマン,ガゼルマン,涌井 秀章
04/09,○,0,石田 健大,石田 健大,福谷 浩司
04/11,●,1,?口 遥大,サイスニード,?口 遥大
04/12,○,1,東 克樹,東 克樹,高橋 奎二
04/14,○,1,ガゼルマン,ガゼルマン,青柳 晃洋
04/16,○,0,平良 拳太郎,平良 拳太郎,才木 浩人
04/18,○,0,石田 健大,石田 健大,戸郷 翔征
04/19,●,0,?口 遥大,山? 伊織,?口 遥大
04/21,○,0,今永 昇太,今永 昇太,コルニエル
04/22,●,0,大貫 晋一,床田 寛樹,大貫 晋一
04/23,○,1,東 克樹,伊勢 大夢,栗林 良吏
04/25,○,1,ガゼルマン,ガゼルマン,サイスニード
04/26,○,0,石田 健大,三嶋 一輝,高梨 裕稔
04/27,○,0,平良 拳太郎,三嶋 一輝,大西 広樹
04/28,○,0,今永 昇太,今永 昇太,小笠原 慎之介
04/29,○,0,大貫 晋一,三嶋 一輝,鈴木 博志
04/30,○,1,東 克樹,東 克樹,?橋 宏斗
05/02,●,0,ガゼルマン,ターリー,山? 康晃
05/03,○,0,バウアー,バウアー,九里 亜蓮
05/04,○,1,石田 健大,森原 康平,松本 竜也
05/05,●,0,今永 昇太,木澤 尚文,山? 康晃
05/06,○,0,?口 遥大,上茶谷 大河,小川 泰弘
05/09,●,0,バウアー,戸郷 翔征,バウアー
05/11,●,0,東 克樹,山? 伊織,東 克樹
05/12,●,0,今永 昇太,青柳 晃洋,今永 昇太
05/13,●,0,ガゼルマン,大竹 耕太郎,ガゼルマン
05/14,●,0,平良 拳太郎,西 純矢,平良 拳太郎
05/16,●,0,バウアー,床田 寛樹,バウアー
05/17,○,0,石田 健大,伊勢 大夢,九里 亜蓮
05/18,○,0,東 克樹,東 克樹,コルニエル
05/20,○,0,ガゼルマン,ウェンデルケン,石山 泰稚
05/21,△,1,今永 昇太,,
05/23,○,0,平良 拳太郎,平良 拳太郎,赤星 優志
05/24,●,0,石田 健大,戸郷 翔征,石田 健大
05/25,●,0,東 克樹,田中 千晴,東 克樹
05/26,●,0,ガゼルマン,小笠原 慎之介,ガゼルマン
05/27,●,0,バウアー,マルティネス,三嶋 一輝
05/28,○,0,大貫 晋一,大貫 晋一,?橋 宏斗
05/30,○,0,今永 昇太,今永 昇太,則本 昂大
05/31,●,1,石田 健大,田中 将大,ウェンデルケン
06/01,○,0,東 克樹,東 克樹,瀧中 瞭太
06/03,○,0,バウアー,バウアー,?橋 光成
06/04,○,0,ガゼルマン,入江 大生,ティノコ
06/05,●,0,平良 拳太郎,松本 航,平良 拳太郎
06/06,●,0,今永 昇太,モイネロ,伊勢 大夢
06/07,●,0,石田 健大,東浜 巨,石田 健大
06/08,○,0,東 克樹,東 克樹,森 唯斗
06/09,○,1,バウアー,バウアー,山下 舜平大
06/10,●,0,ガゼルマン,山? 福也,ガゼルマン
06/11,○,0,大貫 晋一,大貫 晋一,宮城 大弥
06/13,○,1,今永 昇太,今永 昇太,上原 健太
06/14,○,0,バウアー,バウアー,加藤 貴之
06/16,●,0,?口 遥大,メルセデス,?口 遥大
06/17,○,0,大貫 晋一,大貫 晋一,カスティーヨ
06/18,○,1,石田 健大,森原 康平,佐々木 朗希
06/19,●,1,上茶谷 大河,田中 正義,山? 康晃
06/23,○,0,今永 昇太,今永 昇太,ビーズリー
06/24,○,2,東 克樹,東 克樹,伊藤 将司
06/25,○,0,バウアー,バウアー,才木 浩人
06/27,●,0,大貫 晋一,ターリー,上茶谷 大河
06/28,●,0,石田 健大,森下 暢仁,石田 健大
06/29,●,0,ガゼルマン,ターリー,エスコバー
06/30,●,1,今永 昇太,清水 達也,伊勢 大夢
07/01,△,1,バウアー,,
07/02,○,0,東 克樹,東 克樹,涌井 秀章
07/04,●,0,大貫 晋一,清水 昇,山? 康晃
07/05,●,0,石田 健大,今野 龍太,入江 大生
07/06,○,0,バウアー,バウアー,石川 雅規
07/07,○,0,今永 昇太,今永 昇太,戸郷 翔征
07/08,●,0,ガゼルマン,菅野 智之,ガゼルマン
07/09,○,0,東 克樹,エスコバー,菊地 大稀
07/11,●,0,笠原 ?太郎,青柳 晃洋,笠原 ?太郎
07/12,●,1,バウアー,岩崎 優,ウェンデルケン
07/13,○,0,石田 健大,石田 健大,村上 頌樹
07/15,●,0,今永 昇太,栗林 良吏,山? 康晃
07/16,●,1,東 克樹,ターリー,伊勢 大夢
07/17,●,0,バウアー,床田 寛樹,バウアー
07/22,●,0,石田 健大,山? 伊織,伊勢 大夢
07/23,●,1,平良 拳太郎,メンデス,平良 拳太郎
07/25,○,0,今永 昇太,今永 昇太,小笠原 慎之介
07/26,●,0,ガゼルマン,仲地 礼亜,ガゼルマン
07/27,○,0,バウアー,バウアー,メヒア
07/28,○,0,東 克樹,山? 康晃,清水 昇
07/29,●,0,大貫 晋一,小川 泰弘,大貫 晋一
07/30,●,0,石田 健大,小澤 怜史,石田 健大
08/01,○,0,今永 昇太,山? 康晃,栗林 良吏
08/02,●,0,?口 遥大,森 翔平,?口 遥大
08/03,△,0,バウアー,,
08/04,●,0,東 克樹,浜地 真澄,伊勢 大夢
08/05,●,0,大貫 晋一,青柳 晃洋,大貫 晋一
08/06,●,0,石田 健大,伊藤 将司,石田 健大
08/08,○,1,今永 昇太,山? 康晃,小笠原 慎之介
08/09,○,0,バウアー,バウアー,鈴木 博志
08/10,○,0,?口 遥大,?口 遥大,仲地 礼亜
08/11,○,0,東 克樹,東 克樹,中川 皓太
08/12,●,0,平良 拳太郎,山? 伊織,平良 拳太郎
08/13,●,0,石田 健大,メンデス,石田 健大
08/15,○,0,バウアー,バウアー,小澤 怜史
08/16,●,0,今永 昇太,小川 泰弘,今永 昇太
08/17,○,0,?口 遥大,?口 遥大,ロドリゲス
08/18,○,0,東 克樹,東 克樹,加治屋 蓮
08/19,●,0,石田 健大,青柳 晃洋,上茶谷 大河
08/20,●,0,バウアー,伊藤 将司,バウアー
08/22,●,0,今永 昇太,九里 亜蓮,今永 昇太
08/23,●,0,?口 遥大,大瀬良 大地,?口 遥大
08/24,○,0,東 克樹,東 克樹,床田 寛樹
08/25,○,0,バウアー,バウアー,松葉 貴大
08/26,○,2,石田 健大,上茶谷 大河,清水 達也
08/27,●,1,平良 拳太郎,フェリス,森原 康平
08/29,○,0,今永 昇太,エスコバー,岩崎 優
08/30,○,0,バウアー,上茶谷 大河,大竹 耕太郎
09/01,○,0,東 克樹,東 克樹,戸郷 翔征
09/02,○,1,石田 健大,石田 健大,横川 凱
09/03,●,1,?口 遥大,バルドナード,上茶谷 大河
09/05,●,0,坂本 裕哉,中? 翔太,山? 康晃
09/06,●,1,今永 昇太,益田 武尚,中川 虎大
09/07,○,0,東 克樹,東 克樹,遠藤 淳志
09/08,○,0,平良 拳太郎,上茶谷 大河,阪口 皓亮
09/09,●,0,石田 健大,小川 泰弘,石田 健大
09/10,○,0,?口 遥大,?口 遥大,山野 太一
09/12,●,0,大貫 晋一,涌井 秀章,大貫 晋一
09/13,●,0,今永 昇太,齋藤 綱記,伊勢 大夢
09/14,○,0,東 克樹,東 克樹,小笠原 慎之介
09/15,○,0,平良 拳太郎,平良 拳太郎,ロドリゲス
09/16,●,0,石田 健大,小川 泰弘,石田 健大
09/17,○,1,?口 遥大,ウェンデルケン,ブルワー
09/18,○,1,大貫 晋一,伊勢 大夢,石井 大智
09/20,○,0,東 克樹,東 克樹,大瀬良 大地
09/23,●,0,?口 遥大,?橋 宏斗,?口 遥大
09/24,●,0,今永 昇太,戸郷 翔征,今永 昇太
09/25,○,1,大貫 晋一,大貫 晋一,メンデス
09/26,○,1,東 克樹,東 克樹,山? 伊織
09/27,●,0,坂本 裕哉,吉村 貢司郎,坂本 裕哉
09/29,○,1,石田 健大,伊勢 大夢,青柳 晃洋
09/30,○,0,今永 昇太,上茶谷 大河,田口 麗斗
10/01,○,1,大貫 晋一,大貫 晋一,?橋 宏斗
10/04,●,0,東 克樹,山? 伊織,東 克樹
03/29,○,0,東 克樹,ウェンデルケン,島内 颯太郎
03/30,○,1,平良 拳太郎,平良 拳太郎,黒原 拓未
03/31,●,0,大貫 晋一,アドゥワ 誠,大貫 晋一
04/02,○,0,ジャクソン,ジャクソン,村上 頌樹
04/03,●,1,?口 遥大,伊藤 将司,?口 遥大
04/04,○,1,中川 颯,上茶谷 大河,西 勇輝
04/05,○,1,東 克樹,東 克樹,戸郷 翔征
04/06,○,0,ケイ,上茶谷 大河,井上 温大
04/07,●,0,大貫 晋一,高橋 礼,大貫 晋一
04/09,●,0,ジャクソン,小笠原 慎之介,ジャクソン
04/10,●,1,小園 健太,松葉 貴大,小園 健太
04/12,○,3,東 克樹,東 克樹,サイスニード
04/13,●,0,ケイ,吉村 貢司郎,ケイ
04/14,●,0,大貫 晋一,ヤフーレ,大貫 晋一
04/16,●,0,ジャクソン,床田 寛樹,ジャクソン
04/17,●,0,?口 遥大,塹江 敦哉,?口 遥大
04/19,●,0,東 克樹,大西 広樹,伊勢 大夢
04/20,○,1,ケイ,ケイ,阪口 皓亮
04/21,○,2,大貫 晋一,大貫 晋一,ヤフーレ
04/23,△,0,ジャクソン,,
04/24,●,1,?口 遥大,桐敷 拓馬,山? 康晃
04/26,○,0,東 克樹,森 唯斗,西舘 勇陽
04/27,●,1,ケイ,横川 凱,ケイ
04/28,●,0,大貫 晋一,堀田 賢慎,上茶谷 大河
04/29,●,0,ジャクソン,松葉 貴大,ジャクソン
04/30,○,3,中川 颯,中川 颯,小笠原 慎之介
05/01,○,1,石田 健大,石田 健大,涌井 秀章
05/03,○,0,東 克樹,東 克樹,アドゥワ 誠
05/04,●,1,ケイ,森下 暢仁,ケイ
05/05,○,1,大貫 晋一,大貫 晋一,九里 亜蓮
05/06,○,0,ジャクソン,三嶋 一輝,エスパーダ
05/08,●,0,石田 健大,吉村 貢司郎,石田 健大
05/10,●,0,東 克樹,岩崎 優,森原 康平
05/11,○,0,中川 颯,山? 康晃,岩崎 優
05/12,●,1,大貫 晋一,才木 浩人,大貫 晋一
05/14,●,0,ケイ,山? 伊織,ケイ
05/15,●,0,石田 健大,堀田 賢慎,石田 健大
05/17,○,2,東 克樹,東 克樹,涌井 秀章
05/18,○,4,中川 颯,中川 颯,松葉 貴大
05/19,●,0,大貫 晋一,柳 裕也,大貫 晋一
