日付,勝ち負け,盗塁,先発,勝投手,負投手
03/31,●,0,ビーディ,勝野 昌慶,ロペス
04/01,○,0,グリフィン,グリフィン,涌井 秀章
04/02,○,0,赤星 優志,鍵谷 陽平,清水 達也
04/04,○,0,戸郷 翔征,戸郷 翔征,?口 遥大
04/05,●,0,メンデス,平良 拳太郎,メンデス
04/06,●,0,横川 凱,東 克樹,横川 凱
04/07,●,0,ビーディ,大瀬良 大地,ビーディ
04/08,●,0,グリフィン,床田 寛樹,グリフィン
04/09,●,0,赤星 優志,玉村 昇悟,赤星 優志
04/11,○,1,戸郷 翔征,戸郷 翔征,西 勇輝
04/12,●,0,メンデス,岩崎 優,田中 豊樹
04/13,●,0,横川 凱,西 純矢,横川 凱
04/14,●,0,ビーディ,小笠原 慎之介,ビーディ
04/15,○,0,グリフィン,グリフィン,?橋 宏斗
04/16,●,0,赤星 優志,祖父江 大輔,赤星 優志
04/18,●,0,戸郷 翔征,石田 健大,戸郷 翔征
04/19,○,0,山? 伊織,山? 伊織,?口 遥大
04/21,●,0,ビーディ,高橋 奎二,ビーディ
04/22,○,0,グリフィン,グリフィン,小川 泰弘
04/23,○,0,横川 凱,横川 凱,吉村 貢司郎
04/26,○,0,戸郷 翔征,戸郷 翔征,西 勇輝
04/27,●,0,山? 伊織,伊藤 将司,山? 伊織
04/28,○,0,?橋 優貴,横川 凱,遠藤 淳志
04/29,○,0,グリフィン,大江 竜聖,栗林 良吏
04/30,●,1,ビーディ,アンダーソン,ビーディ
05/02,●,1,戸郷 翔征,石山 泰稚,田中 千晴
05/03,○,0,?橋 優貴,大江 竜聖,木澤 尚文
05/04,○,0,山? 伊織,大勢,小澤 怜史
05/05,●,1,横川 凱,福 敬登,田中 千晴
05/06,●,0,グリフィン,祖父江 大輔,三上 朋也
05/07,●,0,赤星 優志,田島 慎二,直江 大輔
05/09,○,2,戸郷 翔征,戸郷 翔征,バウアー
05/11,○,0,山? 伊織,山? 伊織,東 克樹
05/12,●,0,横川 凱,矢崎 拓也,菊地 大稀
05/13,○,1,グリフィン,菊地 大稀,松本 竜也
05/14,●,1,赤星 優志,アンダーソン,赤星 優志
05/16,○,0,戸郷 翔征,鍵谷 陽平,石山 泰稚
05/17,○,1,山? 伊織,山? 伊織,市川 悠太
05/18,○,0,横川 凱,横川 凱,サイスニード
05/20,○,0,グリフィン,グリフィン,小笠原 慎之介
05/21,○,0,松井 颯,松井 颯,?橋 宏斗
05/23,●,0,赤星 優志,平良 拳太郎,赤星 優志
05/24,○,1,戸郷 翔征,戸郷 翔征,石田 健大
05/25,○,0,山? 伊織,田中 千晴,東 克樹
05/26,●,1,横川 凱,桐敷 拓馬,鈴木 康平
05/27,●,0,グリフィン,大竹 耕太郎,グリフィン
05/28,●,0,松井 颯,才木 浩人,田中 千晴
05/30,●,1,平内 龍太,西野 勇士,平内 龍太
05/31,○,0,戸郷 翔征,戸郷 翔征,澤村 拓一
06/01,○,0,山? 伊織,山? 伊織,カスティーヨ
06/02,●,0,横川 凱,鈴木 健矢,横川 凱
06/03,○,2,グリフィン,大勢,玉井 大翔
06/04,●,0,松井 颯,北山 亘基,松井 颯
06/06,●,0,?橋 優貴,山本 由伸,?橋 優貴
06/07,○,0,戸郷 翔征,戸郷 翔征,曽谷 龍平
06/08,○,0,山? 伊織,中川 皓太,本田 仁海
06/09,●,0,横川 凱,和田 毅,横川 凱
06/10,○,1,今村 信貴,大江 竜聖,石川 柊太
06/11,○,2,菅野 智之,菅野 智之,尾形 崇斗
06/13,○,0,メンデス,メンデス,松本 航
06/14,○,1,戸郷 翔征,戸郷 翔征,エンス
06/15,○,1,山? 伊織,菊地 大稀,平井 克典
06/16,○,1,横川 凱,大江 竜聖,酒居 知史
06/17,●,0,グリフィン,早川 隆久,グリフィン
06/18,●,0,菅野 智之,岸 孝之,菅野 智之
06/23,○,0,井上 温大,横川 凱,九里 亜蓮
06/24,●,1,メンデス,大瀬良 大地,メンデス
06/25,●,0,山? 伊織,森 翔平,山? 伊織
06/28,●,0,グリフィン,小澤 怜史,グリフィン
06/30,○,0,戸郷 翔征,高梨 雄平,加治屋 蓮
07/01,●,0,菅野 智之,伊藤 将司,菅野 智之
07/02,△,1,メンデス,,
07/04,○,0,山? 伊織,山? 伊織,柳 裕也
07/05,○,1,グリフィン,田中 千晴,祖父江 大輔
07/07,●,0,戸郷 翔征,今永 昇太,戸郷 翔征
07/08,○,1,菅野 智之,菅野 智之,ガゼルマン
07/09,●,0,メンデス,エスコバー,菊地 大稀
07/11,○,0,山? 伊織,山? 伊織,床田 寛樹
07/12,●,0,グリフィン,森下 暢仁,グリフィン
07/13,●,1,戸郷 翔征,大道 温貴,ビーディ
07/15,●,1,井上 温大,ピーターズ,井上 温大
07/16,●,1,メンデス,高橋 奎二,メンデス
07/17,●,0,菅野 智之,田口 麗斗,中川 皓太
07/22,○,1,山? 伊織,山? 伊織,伊勢 大夢
07/23,○,0,メンデス,メンデス,平良 拳太郎
07/25,●,0,菅野 智之,島本 浩也,菅野 智之
